資料集名稱,資料集描述,資料集代碼,資料集所屬單位,資料集類別,環境保護計畫類別,聯合國永續發展目標,主要資料欄位,資料來源,授權方式,授權說明網址,編碼格式,更新頻率,最後更新時間,聯絡人姓名,聯絡人電話,聯絡人電子郵件,標籤
環境部書面之公共工程及採購契約,"勞務採購契約書範本,財務採購契約書範本,資訊服務採購契約範本,公共工程技術服務契約書範本,公共工程專案管理契約書等範本",DOC_P_20,環境部秘書處,其他,其他,,filename(標題)、url(連結)、description(說明),行政院公共工程委員會,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:06:42.000000",許先生,02-23117722#2483,wyshu@moenv.gov.tw,採購契約
沼液沼渣農地肥分使用計畫,會議主辦單位（如環境部、地方政府相關機構）提供，包含委員會議的紀錄、成果及附屬資料。,DOC_P_22,環境部水質保護司,水,資源循環,乾淨水與衛生,month(民國年月)、county(縣市)、fertilizerplan(肥分計畫許可施灌量_公噸)、casereuse(個案再利用許可施施灌量_公噸)、waterresourcesrecyclingandutilization(水資源回收利用許可施灌量_公噸),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:06:42.000000",江先生,(02)2311-7722#2842,zanxuan.jiang@moenv.gov.tw,沼液沼渣
環境部裁罰處分,環境部裁罰處分資料,DOC_P_17,環境部綜合規劃司,其他,其他,,no(編號)、name(行為人名稱)、date(違反處分時間)、case(案件名稱)、fact(違反事實)、low(違反法令)、fine(裁處金額（元）)、appeal(是否訴願)、result(訴願結果)、restricted_date(限制時間)、improve(是否已改善),全球資訊網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,4月,"2026-04-12 08:06:41.000000",鄭小姐,(02)2311-7722#2982,yiting.cheng@moenv.gov.tw,"裁罰,罰款,處分"
環境部年度施政計畫,提供環境部年度施政目標及策略，以及年度重要計畫包括工作計畫名稱、重要計畫項目及實施內容,DOC_P_18,環境部綜合規劃司,其他,其他,,Year(年度)、Overview(概述)、Url(連結),環境部全球資訊網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:06:41.000000",賀先生,23117722#2981,cyho@moenv.gov.tw,施政計畫
環境管理署（改制前環境督察總隊）對污染源裁處資訊,環境管理署（改制前環境督察總隊）裁罰違反環評法及水污染防治法之資料。本資料集裁處相關內容均已納入列管事業污染源裁處資料（資料集代碼為EMS_P_46），爰本資料集資訊自113年2月1日起停止更新,DOC_P_15,環境部環境管理署,其他,其他,"可負擔的潔淨能源,永續城市與社區,和平正義與有力的制度",ACTOR_NAME(行為人名稱)、CONTROL_ID(管制編號)、PENALTY_DATE(處分時間)、CASE_NAME(案件名稱)、OPENINFOR(違反事實)、TRANSGRESS_LAW(違反法令)、FINE(裁處金額)、ILLEGAL_DOLLAR(不法利得金額)、IS_APPEAL(是否提起訴願)、APPEAL_RESULTS(訴願結果)、IS_LITIGATION(是否提起行政訴訟)、LITIGATION_RESULTS(行政訴訟結果)、IS_IMPROVE(是否已改善),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:06:40.000000",陳小姐,(04)2252-1718#51202,yu.chen@moenv.gov.tw,"污染源,裁處"
環訓所年度年報彙編,提供環訓所各年度年報彙編資料,DOC_P_16,國家環境研究院,其他,"環境教育,社會參與","優質教育,減少不平等",year(年度)、time(發布時間)、ISSN(國際標準期刊號)、outline(大綱)、annualreport(年報),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:06:40.000000",湯小姐,03-4915818,yptang@moenv.gov.tw,資料集預計下架
新化學物質及既有化學物質資料登錄工具說明,新化學物質及既有化學物質資料登錄工具說明，包括新化與既化等相關資訊描述,DOC_P_11,環境部化學物質管理署,其他,化學物質管理,,Version(版本)、Item(項目)、Description(說明),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:06:40.000000",梁小姐,(02)2325-7399#55346,hsiaochun.liang@moenv.gov.tw,
持久性有機污染物斯德哥爾摩公約國家實施計畫成果報告,為防範持久性有機污染物對環境造成危害，聯合國制定持久性有機污染物斯德哥爾摩公約，列管之持久性有機污染物禁止或限制使用用途。,DOC_P_08,環境部化學物質管理署,其他,化學物質管理,乾淨水與衛生,filename(文件名稱)、releasedate(發布日期)、member(NIP制定小組成員)、url(檔案下載路徑),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:06:39.000000",楊小姐,02-23257399#55505,yining.yang@moenv.gov.tw,"持久性有機污染物,斯德哥爾摩公約,國家實施計畫"
斯德哥爾摩公約出國報告,聯合國斯德哥爾摩公約第7次持久性有機污染物締約國大會於2015年5月4日至5月15日於瑞士日內瓦國際會議中心舉行。,DOC_P_09,環境部化學物質管理署,其他,化學物質管理,乾淨水與衛生,filename(檔案名稱)、agency(服務機關)、position(姓名職稱)、country(派赴國家)、startdate(出國起始日)、endday(出國結束日)、reportdate(報告日期)、url(檔案下載路徑),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:06:39.000000",楊小姐,02-23257399#55505,yining.yang@moenv.gov.tw,"斯德哥爾摩公約,持久性有機污染物"
環境影響評估報告書修正審查結論,環境影響評估報告書修正審查結論。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/),DOC_P_04,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,Hcode(案件編號)、Title(案件名稱)、Developer(開發單位名稱)、ConclusionDate(審查結論日期)、AppendFile(檔案連結),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:06:38.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"環境影響評估,環境影響評估報告書,修正審查結論"
環境部「資料開放諮詢小組」會議資料,提供環境部所召開的諮詢小組會議資料,DOC_P_07,環境部環境資訊科技司,其他,社會參與,,Conference(會議名稱)、Date(會議日期)、Releasedate(發布日期)、Url(檔案下載路徑),環境部全球資訊網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:06:38.000000",吳小姐,(02)2311-7722#2311,peishan.wu@moenv.gov.tw,諮詢小組
國內已制訂之碳足跡產品類別規則文件清單,提供國內已制訂之碳足跡產品類別規則文件清單。文件名稱、制定者、版本、核准日期、有效期限、適用產品範圍。,CFP_P_06,環境部氣候變遷署,其他,氣候變遷因應,"負責任的消費與生產,氣候行動",Filename(文件名稱)、PCRNO.(文件登錄編號)、Framer(制定者)、Version(版本)、IssueDate(核准日期)、ExpiredDate(有效期限),產品碳足跡資訊網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:06:37.000000",陳小姐,(02)2322-2050#66415,lirong.chen@moenv.gov.tw,碳足跡產品類別規則
環境影響評估報告書審查結論,環境影響評估報告書審查結論。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/),DOC_P_02,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,Hcode(案件編號)、Title(案件名稱)、Developer(開發單位名稱)、ConclusionDate(審查結論日期)、AppendFile(檔案連結),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:06:37.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"環境影響評估,環境影響評估報告書,審查結論"
環境影響說明書修正審查結論,環境影響說明書修正審查結論。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/),DOC_P_03,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,Hcode(案件編號)、Title(案件名稱)、Developer(開發單位名稱)、ConclusionDate(審查結論日期)、AppendFile(檔案連結),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:06:37.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"環境影響評估,環境影響說明書,修正審查結論"
自願性產品碳足跡核定標示及管理辦法,提供自願性產品碳足跡核定標示及管理辦法,CFP_P_03,環境部氣候變遷署,其他,其他,"負責任的消費與生產,氣候行動",filename(標題)、url(連結)、description(說明),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:06:36.000000",陳小姐,(02)2322-2050#66415,lirong.chen@moenv.gov.tw,碳足跡
碳足跡排放係數,1.本資料集介接自「產品碳足跡資訊網」，揭露經環境部審查通過之碳足跡排放係數及其建置基本資料。2.為確保與「產品碳足跡資訊網」數值公告轉換邏輯一致，自2026/02/10起優化調整本平臺碳足跡排放係數數值顯示邏輯。,CFP_P_02,環境部氣候變遷署,大氣,氣候變遷因應,"負責任的消費與生產,氣候行動",name(係數名稱)、Coe(碳足跡數值（kgCO2e）)、Unit(宣告單位)、DepartmentName(政府部門/公司名稱（選擇性揭露）)、AnnouncementYear(公告年份),產品碳足跡資訊網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:06:36.000000",許小姐,(02)2322-2050#66212,chjhsu@moenv.gov.tw,碳足跡排放係數
台灣產品碳足跡資訊,顯示經環境部審查通過的碳標籤產品，且其碳標籤證書為有效期內者之相關資訊。,CFP_P_01,環境部氣候變遷署,污染防治,氣候變遷因應,"負責任的消費與生產,氣候行動",Product_Name(產品名稱)、CFPL_Code(碳標籤證書編號)、Company_Name(公司/團體名稱)、Product_Carbon_Footprint_Data(碳足跡數據)、Declared_Unit(宣告單位)、ExpiredDate(到期日),產品碳足跡資訊網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1月,"2026-04-12 08:06:35.000000",陳小姐,(02)2322-2050#66415,lirong.chen@moenv.gov.tw,"碳足跡,Carbon,Carbon Footprint"
環境部資源循環署中央政府丹娜絲颱風及七二八豪雨災後復原重建特別預算會計月報,環境部資源循環署針對丹娜絲颱風及七二八豪雨災後的復原重建，制定特別預算，並定期發布會計月報。該報告詳細列出資金運用情況、重建進度以及各項支出明細，確保透明度及資金使用效率。報告中涵蓋災後清理、基礎設施修復及環境保護措施，旨在促進災區恢復與可持續發展。透過這些措施，提升社會韌性，減少未來災害影響。,BGT_P_63,環境部資源循環署,其他,其他,,filename(標題)、url(路徑)、description(說明),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1月,"2026-04-12 08:06:34.000000",葉小姐,(02)2370-5888#30435,ty.yeh@moenv.gov.tw,會計月報
環境部氣候變遷署前瞻基礎建設計畫特別決算,特別決算書表,BGT_P_64,環境部氣候變遷署,其他,"氣候變遷因應,環境科技,其他","良好健康和福祉,乾淨水與衛生,氣候行動",filename(標題)、url(路徑)、description(說明),環境部氣候變遷署官網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:06:34.000000",張小姐,23222050#66652,chunyu.chang@moenv.gov.tw,特別決算
環境部環境管理署中央政府花蓮馬太鞍溪堰塞湖災後重建特別預算會計月報,環境部環境管理署針對花蓮馬太鞍溪堰塞湖災後重建，編列特別預算，並定期發布會計月報。該報告內容包含預算使用情況等，旨在提升透明度，確保資源有效運用，並促進災後重建工作順利進行，保障地方居民生活及環境安全。月報還會公告相關支出項目及預算分配，提供公眾對於重建進展的了解。,BGT_P_62,環境部環境管理署,其他,其他,,filename(標題)、url(路徑)、description(說明),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1月,"2026-04-12 08:06:33.000000",郭先生,(04)2252-1718#52831,minhan.kuo@moenv.gov.tw,會計月報
環境部環境管理署中央政府丹娜絲颱風及七二八豪雨災後復原重建特別預算會計月報,環境部環境管理署針對丹娜絲颱風及七二八豪雨災後的復原重建，編列特別預算以應對災後需求。會計月報中詳細列出各項支出及預算分配，涵蓋修復基礎設施、環境整治及社區重建等項目。報告旨在確保資金運用透明，促進災後重建工作的有效進行，並提升相關單位的執行效率，以支持受災民眾的生活重建及環境恢復。,BGT_P_60,環境部環境管理署,其他,其他,,filename(標題)、url(路徑)、description(說明),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1月,"2026-04-12 08:06:32.000000",黃先生,(04)2252-1718#52822,kuijun.huang@moenv.gov.tw,會計月報
環境部資源循環署中央政府花蓮馬太鞍溪堰塞湖災後重建特別預算會計月報,環境部資源循環署針對花蓮馬太鞍溪堰塞湖災後重建，編列特別預算，並定期發布會計月報。該報告內容包含預算使用情況等，旨在提升透明度，確保資源有效運用，並促進災後重建工作順利進行，保障地方居民生活及環境安全。月報還會公告相關支出項目及預算分配，提供公眾對於重建進展的了解。,BGT_P_61,環境部資源循環署,其他,其他,,filename(標題)、url(路徑)、description(說明),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1月,"2026-04-12 08:06:32.000000",葉小姐,(02)2370-5888#30435,ty.yeh@moenv.gov.tw,會計月報
環境部氣候變遷署前瞻基礎建設計畫特別預算會計月報,會計月報書表,BGT_P_59,環境部氣候變遷署,其他,氣候變遷因應,"良好健康和福祉,乾淨水與衛生,氣候行動",filename(標題)、url(連結)、description(說明),環境部氣候變遷署官網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1月,"2026-04-12 08:06:31.000000",張小姐,23222050#66652,chunyu.chang@moenv.gov.tw,前瞻基礎建設計畫特別預算會計月報
環境部資源循環署會計月報,提供環境部資源循環署每月會計月報表,BGT_P_57,環境部資源循環署,其他,其他,,filename(標題)、url(連結)、description(說明),全球資訊網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1月,"2026-04-12 08:06:30.000000",李小姐,02-23117722#2671,jiajin.li@moenv.gov.tw,會計月報
環境部資源循環署單位決算,歲入來源別決算表、歲出政事別決算表、歲出機關別決算表、以前年度歲入來源別轉入數決算表、以前年度歲出政事別轉入數決算表、以前年度歲出機關別轉入數決算表、平衡表、長期投資、固定資產、遞耗資產及無形資產變動表、決算與會計收支對照表、歲出用途別決算累計表、歲出用途別決算分析表、繳付公庫數分析表、公庫撥入數分析表、收入支出表,BGT_P_58,環境部資源循環署,其他,其他,,filename(標題)、url(連結)、description(說明),全球資訊網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:06:30.000000",李小姐,02-23117722#2671,jiajin.li@moenv.gov.tw,決算
環境部氣候變遷署單位決算,決算書表件,BGT_P_56,環境部氣候變遷署,其他,"氣候變遷因應,其他,環境科技","乾淨水與衛生,良好健康和福祉,氣候行動",filename(標題)、url(路徑)、description(說明),環境部氣候變遷署官網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:06:29.000000",張小姐,23222050#66652,chunyu.chang@moenv.gov.tw,單位決算
環境部氣候變遷署單位預算,預算書表件,BGT_P_54,環境部氣候變遷署,其他,"氣候變遷因應,其他,環境科技","良好健康和福祉,乾淨水與衛生,永續城市與社區",year(年度)、type(類別)、name(名稱)、references(參考資料),環境部氣候變遷署官網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:06:28.000000",張小姐,23222050#66652,chunyu.chang@moenv.gov.tw,"法定預算,預算案"
環境部氣候變遷署會計月報,會計月報書表,BGT_P_55,環境部氣候變遷署,其他,"氣候變遷因應,環境科技,其他","良好健康和福祉,乾淨水與衛生,氣候行動",filename(標題)、url(連結)、description(說明),環境部氣候變遷署官網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1月,"2026-04-12 08:06:28.000000",張小姐,23222050#66652,chunyu.chang@moenv.gov.tw,會計月報
國家環境研究院單位決算,提供國家環境研究院單位決算。,BGT_P_51,國家環境研究院,其他,其他,,no(項次)、year(年份)、filename(檔案名稱)、format(檔案格式)、url(下載網址),全球資訊網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:06:27.000000",莊小姐,(03)4915818#13008,yiwen.juang@moenv.gov.tw,國家環境研究院
國家環境研究院法定預算,國家環境研究院單位預算（法定預算）,BGT_P_52,國家環境研究院,其他,其他,,filename(標題)、url(連結)、description(說明),全球資訊網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:06:27.000000",江小姐,(03)402-0789#73005,wenhsuan.chiang@moenv.gov.tw,法定預算
國家環境研究院單位預算案,國家環境研究院單位預算（預算案,BGT_P_53,國家環境研究院,其他,其他,,filename(標題)、url(連結)、description(說明),全球資訊網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:06:27.000000",江小姐,(03)402-0789#73005,wenhsuan.chiang@moenv.gov.tw,單位預算
國家環境研究院會計月報,提供國家環境研究院會計月報資料。會計年度、月份、會計分類、項目、預算科目編號、預算科目名稱、分支計畫編號、分支計畫名稱、一級用途別編號、一級用途別名稱、經資門、支出實現數、加項_預付款、加項_材料、加項_存出保證金、加項_零用金、加項_退還收入預收款、加項_其他應收款、減項_以前年度撥款於本年度實現數、公庫撥入數、公庫分配數餘額、基金別、使用機關別、科目分類、會計科目編號、會計科目名稱、金額、金額_本月數、金額_累計數、收入實現數、減項_收入待納庫數、加項_以前年度待納庫繳庫數、加項_以前年度撥款於本年度繳還數_材料、加項_以前年度撥款於本年度繳還數_存出保證金、加項_以前年度撥款於本年度繳還數_其他應收款、加項_預收款、加項_剔除經費、繳付公庫數、款、項、目、節、細目編號、細目名稱、年度預算數、預算年度、原預算數、追加減數、截至本月止累計分配數_1、本月實現數、截至本月止累計實現數_2、應收收入數_3、分配數預算餘額_4、用途別編號、用途別名稱、第一預備金、第二預備金、經費流用數、預算調整數、應付數、已分配尚未執行數、備註_預暫付數、業務計畫或工作計畫、執行數、科目名稱、取得成本、以前年度累計折舊_長期投資評價、本年度資本資產成本變動_增加數、本年度資本資產成本變動_減少數、本年度累計折舊_長期投資評價變動數、期末帳面金額、備註。,BGT_P_50,國家環境研究院,其他,其他,,filename(標題)、url(連結)、description(說明),全球資訊網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1月,"2026-04-12 08:06:26.000000",呂小姐,(03)491-5818#73006,kuanjung.lu@moenv.gov.tw,會計月報
環境部氣候變遷署補、捐(獎)助團體及個人情形表,環境部氣候變遷署補、捐(獎)助團體及個人情形，包含核准日期、補(捐)助事項、對象及金額等資訊,BGT_P_48,環境部氣候變遷署,其他,其他,,YYYYQ(年度/季度)、DataType(經費類別)、County(縣巿)、CountyCode(縣巿別代碼)、ContributeObject(補（捐）助對象)、ContributeItem(補（捐）助事項)、ApprovalDate(核准日期)、FinancedAmount(金額)、Note(備註),環境部氣候變遷署全球資訊網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,3月,"2026-04-12 08:06:26.000000",廖先生,(02)2322-2050#66651,weiting.liao@moenv.gov.tw,補(捐)助事項
環境部資源循環署法定預算,環境部資源循環署單位預算（自113年度起）。,BGT_P_46,環境部資源循環署,其他,其他,,filename(標題)、url(連結)、description(說明),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:06:25.000000",游先生,(02)2311-7722#2672,mingsyuan.you@moenv.gov.tw,循環署預算
環境部氣候變遷署補、捐(獎)助地方政府情形表,環境部氣候變遷署補、捐(獎)助地方政府情形，包含補（捐）助事項、對象以及撥付金額等資訊,BGT_P_47,環境部氣候變遷署,其他,其他,,YYYYQ(年度/季度)、DataType(經費類別)、GrantTarget(補（捐）助對象)、CountyCode(縣巿別代碼)、GrantItem(補（捐）助事項)、FinancedAmount(金額)、Note(備註),環境部氣候變遷署全球資訊網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,3月,"2026-04-12 08:06:25.000000",廖先生,(02)2322-2050#66651,weiting.liao@moenv.gov.tw,補（捐）助事項
環境部資源循環署補、捐(獎)助地方政府情形表,環境部資源循環署補、捐(獎)助地方政府情形，包含補（捐）助事項、對象以及撥付金額等資訊,BGT_P_44,環境部資源循環署,其他,其他,,YYYYQ(年度/季度)、DataType(類別)、GrantTarget(補（捐）助對象)、CountyCode(縣市別代碼)、GrantItem(補（捐）助事項)、FinancedAmount(撥付金額)、Note(備註),全球資訊網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,3月,"2026-04-12 08:06:24.000000",葉小姐,(02)2370-5888#30435,ty.yeh@moenv.gov.tw,"補助,捐助"
環境部資源循環署單位預算案,環境部資源循環署單位預算案（自113年度起）。,BGT_P_45,環境部資源循環署,其他,其他,,filename(標題)、url(連結)、description(說明),全球資訊網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:06:24.000000",游先生,(02)2311-7722#2672,mingsyuan.you@moenv.gov.tw,循環署預算
環境部資源循環署補、捐(獎)助團體及個人情形表,環境部資源循環署補、捐(獎)助團體及個人情形，包含核准日期、補（捐）助事項、對象及金額等資訊,BGT_P_43,環境部資源循環署,其他,其他,,YYYYQ(年度/季度)、DataType(類別)、County(縣市)、CountyCode(縣市代碼)、ContributeObject(捐（獎）助對象)、ContributeItem(捐（獎）助事項)、ApprovalDate(核准日期)、FinancedAmount(金額)、Note(備註),全球資訊網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,3月,"2026-04-12 08:06:24.000000",葉小姐,(02)2370-5888#30435,ty.yeh@moenv.gov.tw,"補助,捐助"
環境部環境管理署補、捐(獎)助團體及個人情形表,環境部環境管理署補、捐(獎)助團體及個人情形，包含核准日期、補（捐）助事項、對象及金額等資訊,BGT_P_41,環境部環境管理署,其他,其他,,YYYYQ(年度/季度)、DataType(經費類別)、County(縣市)、CountyCode(縣市別代碼)、ContributeObject(補（捐）助對象)、ContributeItem(補（捐）助事項)、ApprovalDate(核准日期)、FinancedAmount(金額)、Note(備註),環境部環境管理署全球資訊網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,3月,"2026-04-12 08:06:23.000000",陳小姐,(04)2252-1718#52828,pinchu.chen@moenv.gov.tw,
環境部環境管理署前瞻基礎建設計畫特別預算會計月報,將各年度會計月報資料(XML檔)透過該平台發布(介接)至政府資料開放平台,BGT_P_42,環境部環境管理署,其他,其他,,filename(標題)、url(路徑)、description(說明),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1月,"2026-04-12 08:06:23.000000",王小姐,(04)22521718#52826,pinhang.wang@moenv.gov.tw,會計月報
環境部環境管理署補、捐(獎)助地方政府情形表,環境部環境管理署補、捐(獎)助地方政府情形，包含補（捐）助事項、對象以及金額等資訊,BGT_P_40,環境部環境管理署,其他,其他,,YYYYQ(年度/季度)、DataType(經費類別)、GrantTarget(補（捐）助對象)、CountyCode(縣市別代碼)、GrantItem(補（捐）助事項)、FinancedAmount(金額)、Note(備註),環境部環境管理署全球資訊網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,3月,"2026-04-12 08:06:23.000000",陳小姐,(04)2252-1718#52828,pinchu.chen@moenv.gov.tw,
環境部環境管理署法定預算,將各年度預算資料(XML檔)透過該平台發布(介接)至政府資料開放平台,BGT_P_37,環境部環境管理署,其他,其他,,filename(標題)、url(連結)、description(說明),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:06:22.000000",黄先生,(04)2252-1718#52823,sjhuang@moenv.gov.tw,預算
環境部環境管理署會計月報,將各年度會計月報資料(XML檔)透過該平台發布(介接)至政府資料開放平台,BGT_P_38,環境部環境管理署,其他,其他,,filename(標題)、url(路徑)、description(說明),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1月,"2026-04-12 08:06:22.000000",陳小姐,(04)2252-1718#52828,pinchu.chen@moenv.gov.tw,會計月報
環境部環境管理署單位決算,將各年度決算資料(XML檔)透過該平台發布(介接)至政府資料開放平台,BGT_P_39,環境部環境管理署,其他,其他,,filename(標題)、url(連結)、description(說明),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:06:22.000000",陳小姐,(04)2252-1718#52828,pinchu.chen@moenv.gov.tw,決算
中央政府嚴重特殊傳染性肺炎防治及紓困振興特別預算,環境部主管中央政府嚴重特殊傳染性肺炎防治及紓困振興特別預算,BGT_P_35,環境部會計處,其他,社會參與,,filename(標題)、url(連結)、description(說明),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:06:21.000000",黃先生,02-23117722#2155,yuanxing.huang@moenv.gov.tw,特別預算
環境部環境管理署單位預算案,將各年度預算資料(XML檔)透過該平台發布(介接)至政府資料開放平台,BGT_P_36,環境部環境管理署,其他,其他,,filename(標題)、url(連結)、description(說明),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:06:21.000000",黄先生,(04)2252-1718#52823,sjhuang@moenv.gov.tw,預算
環境部化學物質管理署補、捐(獎)助團體及個人情形表,環境部化學物質管理署補、捐(獎)助團體及個人情形，包含核准日期、補(捐)助事項、對象及金額等資訊,BGT_P_34,環境部化學物質管理署,其他,其他,,YYYYQ(年度/季度)、DataType(類別)、County(縣市)、CountyCode(縣市代碼)、ContributeObject(補（捐）助對象)、ContributeItem(補（捐）助事項)、ApprovalDate(核准日期)、FinancedAmount(金額)、Note(備註),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,3月,"2026-04-12 08:06:21.000000",陳小姐,(02)2325-7399#55436,szuying.chen@moenv.gov.tw,"補助,捐助,補捐助"
環境部化學物質管理署單位決算,歲入來源別決算表、歲出政事別決算表、歲出機關別決算表、以前年度歲入來源別轉入數決算表、以前年度歲出政事別轉入數決算表、以前年度歲出機關別轉入數決算表、平衡表、長期投資、固定資產、遞耗資產及無形資產變動表、決算與會計收支對照表、歲出用途別決算累計表、歲出用途別決算分析表、繳付公庫數分析表、公庫撥入數分析表、收入支出表,BGT_P_30,環境部化學物質管理署,其他,其他,,filename(標題)、url(連結)、description(說明),環境部化學物質管理署全球資訊網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:06:20.000000",陳小姐,(02)2325-7399#55431,cichen@moenv.gov.tw,決算
前瞻基礎建設計畫特別預算,環境部前瞻基礎建設計畫特別預算是政府為提升國家競爭力和改善人民生活品質而設立的一項大型預算計畫，涵蓋環境、綠能、數位等多個基礎建設領域，旨在促進經濟成長和創造就業機會。,BGT_P_27,環境部會計處,其他,其他,,filename(標題)、url(連結)、description(說明),環境部全球資訊網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:06:20.000000",鄭小姐,(02)2311-7722#2156,fangci.jheng@moenv.gov.tw,
